French,English
de,of
je,I
est,East
pas,not
le,THE
que,that
la,there
vous,YOU
tu,you
un,A
c',it's
à,has
et,And
il,he
a,has
l',L'
ne,born
les,THE
j',I
en,in
on,we
ça,That
une,a
d',of
ce,This
qu',that
pour,For
ai,ai
n',n'
des,of the
qui,Who
mais,but
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,if
du,of
y,y
suis,am
non,No
t',you
avec,with
tout,All
plus,more
mon,My
m',me
te,you
au,At
fait,do
moi,Me
s',if
oui,Yes
va,go
était,was
as,ace
faire,TO DO
ils,they
sur,on
quoi,What
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,You
est-ce,is this
dit,said
lui,him
votre,your
es,are
pourquoi,Why
où,Or
là,there
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
son,her
avez,have
vais,go
alors,SO
ton,your
comment,how
par,by
ou,Or
chose,thing
bon,Good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi,Also
avoir,to have
vraiment,Really
voir,see
même,even
sa,its
oh,Oh
maintenant,NOW
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,Go on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,my
besoin,need
avait,had
accord,agreement
faut,must
dois,have to
vie,life
peut-être,maybe
aller,go
fois,times
vu,seen
donc,SO
sans,without
monde,world
étais,was
parce,because
avant,Before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,had
aime,love
leur,their
homme,man
viens,come
vrai,TRUE
femme,women
ok,ok
doit,must
veut,wanna
ans,years
m.,mr.
mal,wrong
chez,at the house of
déjà,Already
depuis,Since
beaucoup,a lot
vos,your
bonne,Good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,girl
tes,your 
gens,people
quel,what
vois,see 
désolé,Sorry
ca,That
voilà,There
avons,have
petit,little
maison,House
soit,either
cela,that
autres,others
toute,all
soir,evening
passé,pass
prendre,take
jour,day
monsieur,Sir
nos,our
savoir,know
choses,things
salut,Hi
cet,this
nom,name
argent,money
bonjour,Good morning
nuit,night
raison,reason
moins,less
arrive,arrived
maman,Mom
reste,stay
moment,moment
voulais,wanted
seul,alone
aider,help
air,air
entre,between
papa,dad
passe,pass
aurais,would have
problème,issue
ah,oh
peur,fear
regarde,look at
voulez,want
gars,guys
trouvé,find
fils,son
attends,wait
savez,know
jusqu',until
trouver,find
trois,three
assez,enough
famille,family
dû,of
eh,eh
toutes,all
plaît,please
pourrait,could
travail,work
pris,taken
pu,could
tête,head
sait,knows
sommes,are
appelle,calls
quelques,a few
faites,do
partir,leave
vite,quickly
arrête,stop
seule,alone
serait,would be
voiture,car
enfants,children
tuer,kill
merde,shit
hé,Hey
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,leaves
elles,they
jours,days
grand,big
aujourd'hui,Today
venir,come
ami,friend
demain,tomorrow
hein,eh
tard,late
puis,Then
truc,thing
passer,pass
petite,small
tant,so much
connais,know
combien,How much
mec,dude
sens,sense
pouvez,can
porte,door
sortir,to go out
super,great
heure,hour
coup,cut
comprends,understand
entendu,heard
vient,come
allons,let's go
ensemble,together
nouveau,new
amour,love
importe,imported
sang,blood
désolée,Sorry
cas,case
sous,below
